# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Testes;region:Auvergne-Rhone-Alpes;automne;2;21;656;58;Moderee
Tetvir;region:Auvergne-Rhone-Alpes;automne;5;111;1869;134;Bonne
Tyllil;region:Auvergne-Rhone-Alpes;automne;1;1;6;19;Faible
Urosp;region:Auvergne-Rhone-Alpes;automne;1;7;66;25;Faible
Yerray;region:Auvergne-Rhone-Alpes;automne;1;7;38;81;Moderee
Yposp;region:Auvergne-Rhone-Alpes;automne;1;6;270;66;Moderee
amph;region:Bourgogne-Franche-Comte;automne;2;7;12;17;Faible
Antsp;region:Bourgogne-Franche-Comte;automne;5;5;5;13;Faible
Epheph;region:Bourgogne-Franche-Comte;automne;1;5;9;19;Faible
Eptser;region:Bourgogne-Franche-Comte;automne;1;3;11;15;Faible
Inssp7;region:Bourgogne-Franche-Comte;automne;2;12;71;39;Faible
Isopyr;region:Bourgogne-Franche-Comte;automne;76;76;76;1;Faible
Leppun;region:Bourgogne-Franche-Comte;automne;444;3071;6177;49;Moderee
Myodau;region:Bourgogne-Franche-Comte;automne;1;1;4;14;Faible
Myomys;region:Bourgogne-Franche-Comte;automne;1;3;4;10;Faible
Myonat;region:Bourgogne-Franche-Comte;automne;1;2;7;33;Faible
noise;region:Bourgogne-Franche-Comte;automne;355;1711;7102;56;Moderee
Nyclei;region:Bourgogne-Franche-Comte;automne;1;2;4;18;Faible
Phanan;region:Bourgogne-Franche-Comte;automne;28;468;783;10;Faible
Phofem;region:Bourgogne-Franche-Comte;automne;1;2;2;16;Faible
Phogri;region:Bourgogne-Franche-Comte;automne;3;8;818;47;Moderee
piaf;region:Bourgogne-Franche-Comte;automne;7;22;64;38;Faible
Pipkuh;region:Bourgogne-Franche-Comte;automne;2;7;359;45;Moderee
Pipnat;region:Bourgogne-Franche-Comte;automne;1;4;10;10;Faible
Pippip;region:Bourgogne-Franche-Comte;automne;3;27;470;51;Moderee
Plaalb;region:Bourgogne-Franche-Comte;automne;2;8;31;40;Faible
Rusnit;region:Bourgogne-Franche-Comte;automne;1;77;525;14;Faible
Testes;region:Bourgogne-Franche-Comte;automne;3;21;440;42;Moderee
Tetvir;region:Bourgogne-Franche-Comte;automne;5;18;79;54;Moderee
Yerray;region:Bourgogne-Franche-Comte;automne;2;17;106;30;Faible
Yposp;region:Bourgogne-Franche-Comte;automne;1;21;373;21;Faible
Antsp;region:Bretagne;automne;6;62;280;5;Faible
Barbar;region:Bretagne;automne;3;37;166;38;Faible
Barfis;region:Bretagne;automne;1;5;856;30;Faible
